ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
ME-001,Androscoggin County,Maine,46.8,3.6,124,43.1
ME-003,Aroostook County,Maine,40.8,3.1,121,37.7
ME-005,Cumberland County,Maine,47.1,3.2,121,43.9
ME-007,Franklin County,Maine,41.4,3,119,38.4
ME-009,Hancock County,Maine,46.4,3.5,123,43
ME-011,Kennebec County,Maine,46.7,3.7,124,43
ME-013,Knox County,Maine,46.8,3.4,124,43.3
ME-015,Lincoln County,Maine,47.2,3.6,125,43.6
ME-017,Oxford County,Maine,43.7,3.3,121,40.4
ME-019,Penobscot County,Maine,44.5,3.4,122,41.1
ME-021,Piscataquis County,Maine,41.6,3.3,121,38.3
ME-023,Sagadahoc County,Maine,47.6,3.7,125,43.9
ME-025,Somerset County,Maine,41.7,3.1,119,38.6
ME-027,Waldo County,Maine,46.2,3.5,123,42.7
ME-029,Washington County,Maine,45.8,3.8,123,42.1
ME-031,York County,Maine,47.5,2.8,120,44.7
