ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
ME-001,Androscoggin County,Maine,46.81,2.19,86,44.62
ME-003,Aroostook County,Maine,42.31,4.31,96,38
ME-005,Cumberland County,Maine,47.88,3.25,93,44.63
ME-007,Franklin County,Maine,48.59,4.38,95,44.21
ME-009,Hancock County,Maine,52.36,6.65,101,45.71
ME-011,Kennebec County,Maine,45.88,2.97,89,42.91
ME-013,Knox County,Maine,54.41,8.01,108,46.4
ME-015,Lincoln County,Maine,50.31,5.69,100,44.62
ME-017,Oxford County,Maine,47.32,3.53,92,43.79
ME-019,Penobscot County,Maine,44.84,3.11,85,41.73
ME-021,Piscataquis County,Maine,44.84,3.39,87,41.45
ME-023,Sagadahoc County,Maine,48.87,4.37,95,44.5
ME-025,Somerset County,Maine,44.72,3.48,93,41.24
ME-027,Waldo County,Maine,50.33,5.57,101,44.76
ME-029,Washington County,Maine,52.18,7.91,104,44.27
ME-031,York County,Maine,53.23,8.73,110,44.5
