ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
ME-001,Androscoggin County,Maine,41.41,-3.21,37,44.62
ME-003,Aroostook County,Maine,37.9,-0.1,63,38
ME-005,Cumberland County,Maine,44.16,-0.47,57,44.63
ME-007,Franklin County,Maine,34.13,-10.08,2,44.21
ME-009,Hancock County,Maine,48.86,3.15,89,45.71
ME-011,Kennebec County,Maine,40.54,-2.37,42,42.91
ME-013,Knox County,Maine,48.32,1.92,79,46.4
ME-015,Lincoln County,Maine,44.67,0.05,62,44.62
ME-017,Oxford County,Maine,37.62,-6.17,13,43.79
ME-019,Penobscot County,Maine,40.85,-0.88,53,41.73
ME-021,Piscataquis County,Maine,36.55,-4.9,26,41.45
ME-023,Sagadahoc County,Maine,44.83,0.33,65,44.5
ME-025,Somerset County,Maine,34.38,-6.86,7,41.24
ME-027,Waldo County,Maine,48.15,3.39,90,44.76
ME-029,Washington County,Maine,45.38,1.11,69,44.27
ME-031,York County,Maine,48.69,4.19,89,44.5
