ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
ME-001,Androscoggin County,Maine,46.6,3.5,121,43.1
ME-003,Aroostook County,Maine,40.9,3.2,123,37.7
ME-005,Cumberland County,Maine,47.3,3.4,123,43.9
ME-007,Franklin County,Maine,41.7,3.3,122,38.4
ME-009,Hancock County,Maine,46.4,3.4,123,43
ME-011,Kennebec County,Maine,46.5,3.5,123,43
ME-013,Knox County,Maine,46.6,3.2,122,43.3
ME-015,Lincoln County,Maine,47,3.5,122,43.6
ME-017,Oxford County,Maine,44,3.6,123,40.4
ME-019,Penobscot County,Maine,44.6,3.5,123,41.1
ME-021,Piscataquis County,Maine,41.8,3.5,123,38.3
ME-023,Sagadahoc County,Maine,47.3,3.4,121,43.9
ME-025,Somerset County,Maine,41.8,3.3,122,38.6
ME-027,Waldo County,Maine,46.1,3.4,122,42.7
ME-029,Washington County,Maine,46.1,4,124,42.1
ME-031,York County,Maine,47.6,2.9,122,44.7
